job_title,job_category,company_name,requirements,location,industry,salary
Software Developer 1,software developer,District of North Vancouver,"Use your software development skills to build new, innovative, and complex solutions, such as leveraging an open source notification API to automate emails and SMS messages to customers;Help implement Azure Service Bus within a new integration framework;Build a clear identity-managed interface allowing residents to perform any transaction with the District online;Continue to enhance award-winning, mission-critical custom web applications used by staff and members of the community.Proven experience with front end technologies: HTML, CSS, JavaScript;Proven experience with frameworks such as Angular or React, as well as experience with CSS pre-processors such as SCSS and LESS is desired;Proven experience with back end technologies, such as C#, .NET Core, and with databases such as SQL Service is desired;Experience leveraging REST APIs to develop applications;Experienced and conversant with version control such as SVN, Git, etc.;Experience with Azure Service Bus is desired.","North Vancouver, BC",Government & Public Administration,$36.45 - $43.04 an hour
software developer,software developer,Nothing_found,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,$43 an hour
Web developer,software developer,Century Restaurant Pitt Meadows,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,$28 an hour
software development manager,software developer,Vanpeople Network Ltd.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp CentreHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp CentreHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Burnaby, BC",Nothing_found,$46 an hour
software programmer,software developer,Polyga,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Burnaby, BC",Nothing_found,$34.50 an hour
"developer, software",software developer,Square Holding Inc.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Burnaby, BC",Nothing_found,$35 an hour
"developer, software",software developer,Swype Systems Inc.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Richmond, BC",Nothing_found,"$45,000 - $75,000 a year"
Web developer,software developer,GTC EDU&TRAVEL INC.,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,$27.06 an hour
Web developer,software developer,Compuran as well as ITD Canada,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp CentreHiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Vancouver, BC",Nothing_found,$27.06 an hour
software engineer,software developer,BOLTZ,Hiring LabCareer AdviceBrowse JobsBrowse CompaniesSalariesIndeed EventsWork at IndeedAboutHelp Centre,"Richmond, BC",Nothing_found,$45 an hour
